end_station_name,member_casual,Number_of_Rides
Millennium Park,casual,179
Lake Shore Dr & Monroe St,casual,161
Clark St & Elm St,casual,157
Wells St & Elm St,casual,155
Ellis Ave & 60th St,casual,129
Michigan Ave & Lake St,casual,124
Bissell St & Armitage Ave,casual,120
Fairbanks Ct & Grand Ave,casual,118
Wells St & Concord Ln,casual,113
Dearborn St & Erie St,casual,112
Wabash Ave & Grand Ave,casual,108
Clark St & Drummond Pl,casual,105
Wells St & Evergreen Ave,casual,104
Clark St & Wrightwood Ave,casual,101
Franklin St & Illinois St,casual,100
Wells St & Huron St,casual,97
Columbus Dr & Randolph St,casual,96
Daley Center Plaza,casual,95
Michigan Ave & Washington St,casual,95
Clark St & Grace St,casual,94
Clark St & Newport St,casual,92
Broadway & Barry Ave,casual,92
Ashland Ave & Division St,casual,91
Clark St & Armitage Ave,casual,91
Clark St & Lincoln Ave,casual,90
Broadway & Cornelia Ave,casual,90
Streeter Dr & Grand Ave,casual,89
St. Clair St & Erie St,casual,88
Indiana Ave & Roosevelt Rd,casual,88
Southport Ave & Waveland Ave,casual,85
Morgan St & Lake St,casual,85
Desplaines St & Kinzie St,casual,83
Michigan Ave & Oak St,casual,82
Kingsbury St & Kinzie St,casual,82
Michigan Ave & 18th St,casual,82
Wabash Ave & Wacker Pl,casual,82
Dearborn Pkwy & Delaware Pl,casual,81
Wilton Ave & Diversey Pkwy,casual,81
Broadway & Waveland Ave,casual,79
Damen Ave & Pierce Ave,casual,78
LaSalle St & Illinois St,casual,78
Kimbark Ave & 53rd St,casual,76
Wabash Ave & Roosevelt Rd,casual,76
Halsted St & Roscoe St,casual,76
Halsted St & Clybourn Ave,casual,76
Green St & Madison St,casual,75
Green St & Randolph St,casual,75
Lakeview Ave & Fullerton Pkwy,casual,75
State St & Randolph St,casual,74
Ellis Ave & 55th St,casual,74
Wells St & Polk St,casual,73
Michigan Ave & 14th St,casual,73
Michigan Ave & 8th St,casual,72
Franklin St & Lake St,casual,71
Clinton St & Madison St,casual,71
Clark St & Wellington Ave,casual,70
Lake Shore Dr & North Blvd,casual,70
Sedgwick St & North Ave,casual,70
Sheffield Ave & Waveland Ave,casual,69
Stockton Dr & Wrightwood Ave,casual,68
Lake Shore Dr & Belmont Ave,casual,68
Lincoln Ave & Belmont Ave,casual,67
Pine Grove Ave & Waveland Ave,casual,67
Wilton Ave & Belmont Ave,casual,67
Rush St & Cedar St,casual,67
Milwaukee Ave & Grand Ave,casual,66
Larrabee St & Webster Ave,casual,64
McClurg Ct & Erie St,casual,64
Lincoln Ave & Fullerton Ave,casual,62
Broadway & Belmont Ave,casual,62
University Ave & 57th St,casual,61
Kedzie Ave & Milwaukee Ave,casual,60
Kingsbury St & Erie St,casual,59
Racine Ave & Belmont Ave,casual,59
Sheffield Ave & Wellington Ave,casual,59
Shore Dr & 55th St,casual,59
Dearborn St & Van Buren St,casual,59
Southport Ave & Roscoe St,casual,58
Sheffield Ave & Kingsbury St,casual,58
Lincoln Ave & Diversey Pkwy,casual,57
