end_station_name,member_casual,Number_of_Rides
Dearborn St & Erie St,member,897
Clark St & Elm St,member,817
Kingsbury St & Kinzie St,member,687
St. Clair St & Erie St,member,671
Wells St & Huron St,member,612
Wells St & Concord Ln,member,603
McClurg Ct & Erie St,member,567
Wabash Ave & Grand Ave,member,563
Clinton St & Madison St,member,562
Desplaines St & Kinzie St,member,557
Wabash Ave & Roosevelt Rd,member,530
Wells St & Elm St,member,514
Broadway & Waveland Ave,member,502
Broadway & Barry Ave,member,493
Clark St & Schiller St,member,460
Sheffield Ave & Kingsbury St,member,438
Kingsbury St & Erie St,member,428
Clark St & Wellington Ave,member,426
Columbus Dr & Randolph St,member,425
Dearborn St & Monroe St,member,421
Clark St & Drummond Pl,member,418
Green St & Madison St,member,414
Mies van der Rohe Way & Chicago Ave,member,414
Broadway & Cornelia Ave,member,407
Franklin St & Illinois St,member,387
Rush St & Superior St,member,385
Wells St & Hubbard St,member,385
Mies van der Rohe Way & Chestnut St,member,383
Halsted St & Clybourn Ave,member,383
Fairbanks Ct & Grand Ave,member,375
Lincoln Ave & Fullerton Ave,member,364
Clinton St & Washington Blvd,member,361
Rush St & Cedar St,member,357
Sedgwick St & Huron St,member,350
Dearborn Pkwy & Delaware Pl,member,347
Ellis Ave & 55th St,member,342
Clark St & Armitage Ave,member,342
Wilton Ave & Belmont Ave,member,341
State St & Randolph St,member,338
LaSalle St & Washington St,member,336
Larrabee St & Webster Ave,member,336
Federal St & Polk St,member,336
Desplaines St & Jackson Blvd,member,334
Clinton St & Lake St,member,334
Ellis Ave & 60th St,member,332
Fairbanks St & Superior St,member,330
Wolcott Ave & Polk St,member,330
Wabash Ave & 9th St,member,329
Larrabee St & Kingsbury St,member,327
Pine Grove Ave & Waveland Ave,member,325
Sheridan Rd & Irving Park Rd,member,325
Sheridan Rd & Montrose Ave,member,324
Broadway & Belmont Ave,member,323
Southport Ave & Roscoe St,member,321
Clark St & Wrightwood Ave,member,320
Canal St & Adams St,member,318
Daley Center Plaza,member,318
Wilton Ave & Diversey Pkwy,member,318
Lakeview Ave & Fullerton Pkwy,member,318
Paulina St & Flournoy St,member,314
Michigan Ave & Lake St,member,314
Kimbark Ave & 53rd St,member,311
Ashland Ave & Division St,member,311
University Ave & 57th St,member,310
Michigan Ave & Washington St,member,305
Franklin St & Monroe St,member,305
Peoria St & Jackson Blvd,member,302
Sheffield Ave & Willow St,member,302
State St & Kinzie St,member,301
Orleans St & Merchandise Mart Plaza,member,296
Halsted St & Roscoe St,member,295
Aberdeen St & Jackson Blvd,member,295
New St & Illinois St,member,294
Morgan St & Lake St,member,294
Clark St & Newport St,member,290
Milwaukee Ave & Grand Ave,member,288
Clark St & Randolph St,member,287
Franklin St & Chicago Ave,member,279
Clark St & Lincoln Ave,member,274
Burling St & Diversey Pkwy,member,273
Indiana Ave & Roosevelt Rd,member,270
Pine Grove Ave & Irving Park Rd,member,270
Clark St & Lake St,member,269
LaSalle St & Illinois St,member,268
Clarendon Ave & Gordon Ter,member,266
Wood St & Taylor St (Temp),member,265
LaSalle Dr & Huron St,member,263
Wells St & Polk St,member,263
Lincoln Ave & Diversey Pkwy,member,262
Ogden Ave & Race Ave,member,262
Franklin St & Lake St,member,262
Aberdeen St & Monroe St,member,260
Halsted St & Polk St,member,259
Lake Shore Dr & Belmont Ave,member,259
Southport Ave & Waveland Ave,member,258
Clinton St & Jackson Blvd,member,258
Franklin St & Jackson Blvd,member,257
Greenview Ave & Fullerton Ave,member,256
Halsted St & Dickens Ave,member,255
Bissell St & Armitage Ave,member,255
Sedgwick St & Webster Ave,member,255
Sheffield Ave & Wellington Ave,member,253
Clark St & Leland Ave,member,250
Clarendon Ave & Junior Ter,member,242
