start_station_name,member_casual,Number_of_Rides
Lake Shore Dr & Monroe St,casual,196
Clark St & Elm St,casual,152
Wells St & Elm St,casual,150
Wells St & Huron St,casual,135
Ellis Ave & 60th St,casual,135
Millennium Park,casual,130
Michigan Ave & Washington St,casual,123
Clark St & Grace St,casual,116
Dearborn St & Erie St,casual,112
Franklin St & Illinois St,casual,112
Wells St & Concord Ln,casual,112
Wells St & Evergreen Ave,casual,109
Kingsbury St & Kinzie St,casual,109
Daley Center Plaza,casual,104
Bissell St & Armitage Ave,casual,104
Fairbanks Ct & Grand Ave,casual,99
Clark St & Drummond Pl,casual,98
Clark St & Armitage Ave,casual,97
Michigan Ave & Lake St,casual,96
Michigan Ave & 8th St,casual,95
Clark St & Wrightwood Ave,casual,95
Indiana Ave & Roosevelt Rd,casual,95
State St & Randolph St,casual,94
Desplaines St & Kinzie St,casual,93
Clark St & Lincoln Ave,casual,91
Broadway & Cornelia Ave,casual,91
Pine Grove Ave & Waveland Ave,casual,91
Clark St & Newport St,casual,90
Columbus Dr & Randolph St,casual,90
Kimbark Ave & 53rd St,casual,89
Wabash Ave & Grand Ave,casual,88
Broadway & Barry Ave,casual,87
Kingsbury St & Erie St,casual,86
Clinton St & Madison St,casual,85
Wilton Ave & Belmont Ave,casual,84
Southport Ave & Waveland Ave,casual,82
Sedgwick St & North Ave,casual,80
Wells St & Polk St,casual,80
Streeter Dr & Grand Ave,casual,80
Dearborn Pkwy & Delaware Pl,casual,78
Franklin St & Lake St,casual,78
Sheffield Ave & Wellington Ave,casual,76
Stockton Dr & Wrightwood Ave,casual,75
Federal St & Polk St,casual,75
Ashland Ave & Division St,casual,74
Larrabee St & Webster Ave,casual,74
Orleans St & Merchandise Mart Plaza,casual,74
Morgan St & Lake St,casual,74
Wilton Ave & Diversey Pkwy,casual,72
Michigan Ave & 18th St,casual,71
LaSalle St & Illinois St,casual,71
Lakeview Ave & Fullerton Pkwy,casual,71
Sheridan Rd & Irving Park Rd,casual,71
Halsted St & Roscoe St,casual,71
Dusable Harbor,casual,71
Southport Ave & Roscoe St,casual,70
Michigan Ave & 14th St,casual,69
Broadway & Waveland Ave,casual,69
Clark St & Wellington Ave,casual,68
Halsted St & Clybourn Ave,casual,68
Field Blvd & South Water St,casual,65
Ellis Ave & 55th St,casual,65
Lake Shore Dr & Belmont Ave,casual,65
Lake Shore Dr & North Blvd,casual,64
St. Clair St & Erie St,casual,64
Sheffield Ave & Waveland Ave,casual,64
Rush St & Cedar St,casual,64
Halsted St & Wrightwood Ave,casual,64
Broadway & Sheridan Rd,casual,64
Wabash Ave & Wacker Pl,casual,63
Wabash Ave & Roosevelt Rd,casual,62
Theater on the Lake,casual,61
Racine Ave & Belmont Ave,casual,61
Milwaukee Ave & Grand Ave,casual,59
Clifton Ave & Armitage Ave,casual,59
Clark St & Randolph St,casual,59
Dearborn St & Van Buren St,casual,58
Lincoln Ave & Belmont Ave,casual,58
Lincoln Ave & Fullerton Ave,casual,57
Desplaines St & Jackson Blvd,casual,57
Canal St & Adams St,casual,57
Clark St & 9th St (AMLI),casual,56
Dayton St & North Ave,casual,56
Greenview Ave & Fullerton Ave,casual,56
Lincoln Ave & Diversey Pkwy,casual,56
Lake Shore Dr & Wellington Ave,casual,56
Rush St & Superior St,casual,56
Shedd Aquarium,casual,56
Sheridan Rd & Montrose Ave,casual,55
LaSalle Dr & Huron St,casual,55
Michigan Ave & Oak St,casual,55
Orleans St & Chestnut St (NEXT Apts),casual,54
Sheffield Ave & Fullerton Ave,casual,54
Sheffield Ave & Kingsbury St,casual,54
Ritchie Ct & Banks St,casual,54
Pine Grove Ave & Irving Park Rd,casual,54
Clark St & Chicago Ave,casual,54
