start_station_name,member_casual,Number_of_Rides
Clark St & Elm St,member,840
Dearborn St & Erie St,member,813
Wells St & Huron St,member,718
Kingsbury St & Kinzie St,member,692
St. Clair St & Erie St,member,687
Columbus Dr & Randolph St,member,631
Desplaines St & Kinzie St,member,596
Wells St & Elm St,member,556
Wells St & Concord Ln,member,552
Clark St & Schiller St,member,541
Wabash Ave & Grand Ave,member,522
Clinton St & Madison St,member,519
Broadway & Waveland Ave,member,518
McClurg Ct & Erie St,member,503
Broadway & Barry Ave,member,493
Kingsbury St & Erie St,member,446
Mies van der Rohe Way & Chicago Ave,member,437
Wells St & Hubbard St,member,435
Dearborn St & Monroe St,member,428
Sheffield Ave & Kingsbury St,member,418
Clark St & Armitage Ave,member,416
Mies van der Rohe Way & Chestnut St,member,415
Wabash Ave & Roosevelt Rd,member,414
Clark St & Drummond Pl,member,403
Clinton St & Washington Blvd,member,403
Franklin St & Illinois St,member,403
Broadway & Cornelia Ave,member,398
Clark St & Wellington Ave,member,395
Orleans St & Merchandise Mart Plaza,member,385
Lincoln Ave & Fullerton Ave,member,380
Ellis Ave & 60th St,member,379
Fairbanks Ct & Grand Ave,member,379
Dearborn Pkwy & Delaware Pl,member,377
Clark St & Wrightwood Ave,member,368
Halsted St & Clybourn Ave,member,362
Daley Center Plaza,member,360
LaSalle St & Washington St,member,358
Larrabee St & Kingsbury St,member,357
Wolcott Ave & Polk St,member,354
Rush St & Superior St,member,348
Paulina St & Flournoy St,member,348
Sedgwick St & Huron St,member,347
Lakeview Ave & Fullerton Pkwy,member,345
Green St & Madison St,member,342
Sheridan Rd & Irving Park Rd,member,341
Franklin St & Monroe St,member,339
Clinton St & Lake St,member,335
Wilton Ave & Belmont Ave,member,334
Wabash Ave & 9th St,member,334
State St & Randolph St,member,333
Rush St & Cedar St,member,331
Wilton Ave & Diversey Pkwy,member,324
Michigan Ave & Lake St,member,323
University Ave & 57th St,member,321
Clark St & Chicago Ave,member,320
Ellis Ave & 55th St,member,317
Ashland Ave & Division St,member,315
Pine Grove Ave & Waveland Ave,member,315
Broadway & Belmont Ave,member,314
Desplaines St & Jackson Blvd,member,313
Larrabee St & Webster Ave,member,313
Indiana Ave & Roosevelt Rd,member,311
Federal St & Polk St,member,310
Pine Grove Ave & Irving Park Rd,member,309
Sheridan Rd & Montrose Ave,member,303
Southport Ave & Roscoe St,member,293
State St & Kinzie St,member,292
Halsted St & Roscoe St,member,291
Clark St & Lake St,member,290
Sheffield Ave & Willow St,member,290
Milwaukee Ave & Grand Ave,member,290
Peoria St & Jackson Blvd,member,288
Wells St & Polk St,member,288
Sheffield Ave & Waveland Ave,member,284
Franklin St & Chicago Ave,member,282
Franklin St & Jackson Blvd,member,281
Franklin St & Lake St,member,280
Canal St & Adams St,member,279
Aberdeen St & Jackson Blvd,member,279
LaSalle Dr & Huron St,member,276
Clinton St & Jackson Blvd,member,274
Sedgwick St & Webster Ave,member,272
Clark St & Lincoln Ave,member,270
Clark St & Newport St,member,269
Michigan Ave & Washington St,member,269
Loomis St & Lexington St,member,267
Kimbark Ave & 53rd St,member,265
